Transaction.Output.ID,Transaction.Output.Address,Transactions.Output.Value
64182,5663751,2.47032822920623e-314
64287,2703782,2.47032822920623e-314
64606,3747574,2.47032822920623e-314
65239,1093232,2.47032822920623e-314
65710,5404402,2.47032822920623e-314
69121,960249,2.47032822920623e-314
71785,2029121,2.47032822920623e-314
73442,2788245,2.47032822920623e-314
73811,4590433,7.3312918989445e-313
73855,1980226,2.47032822920623e-314
74408,6463274,4.44659081257122e-313
74758,552257,2.47032822920623e-315
74910,3120415,2.47032822920623e-315
75470,3840679,2.47032822920623e-315
75692,2156142,2.47032822920623e-314
79168,2669525,4.94065645841247e-318
79376,979281,4.94065645841247e-318
79423,979281,4.94065645841247e-318
79483,1604680,9.78249978765668e-316
79682,2148292,2.47032822920623e-314
81255,1836368,2.47032822920623e-317
81634,487163,1.71094933154824e-314
81992,1793349,4.94065645841247e-318
82408,1793349,4.94065645841247e-318
84051,2887050,2.47032822920623e-314
84329,4735713,2.47032822920623e-314
85099,664774,1.97626258336499e-317
85366,6462575,2.74433703638979e-313
85392,1408657,2.47032822920623e-314
87149,2826642,2.42092166462211e-314
87237,2160860,5.17731390277042e-314
87439,2673300,4.94065645841247e-314
87476,6304635,2.47032822920623e-317
87649,1225893,2.47032822920623e-314
88426,6425433,2.47032822920623e-317
88853,164674,2.47032822920623e-314
88998,4009324,2.47032822920623e-314
89113,4258528,8.69555536680594e-315
89578,4707590,2.47032822920623e-317
89774,5796668,1.23516411460312e-314
90196,860979,4.89124989382834e-315
91116,3635124,9.88131291682493e-318
91202,3635124,9.88131291682493e-318
91274,448610,4.19461733319218e-315
91498,3815472,3.61161987109951e-315
92098,3635124,9.88131291682493e-318
92240,3215431,1.43279037293961e-315
92253,3635124,9.88131291682493e-318
92580,2291726,2.47032822920623e-314
92872,4769442,1.97626258336499e-317
93083,739691,2.47032822920623e-317
93667,946064,2.47032822920623e-314
95607,396292,2.47032822920623e-317
95867,396292,2.47032822920623e-317
98832,2980822,2.47032822920623e-314
101644,1821335,5.52859457696355e-314
102095,4020196,2.47032822920623e-314
102365,2670034,2.71736105212686e-313
102598,4745775,4.94065645841247e-313
102774,858877,4.94065645841247e-316
102934,2056413,2.47032822920623e-316
103496,5416825,2.47032822920623e-314
104657,2570775,8.07797330950438e-314
106189,4049329,4.94065645841247e-317
107683,3492301,9.88131291682493e-316
107907,3597952,2.47032822920623e-314
108072,2971907,4.94065645841247e-314
108531,5487515,2.47032822920623e-314
108801,4765610,2.22329540628561e-314
108809,5496465,4.94065645841247e-318
115115,3849572,2.47032822920623e-314
115202,5862512,2.47032822920623e-314
115404,4877642,2.91498731046335e-316
115550,2266141,2.47032822920623e-314
115732,2871905,4.94065645841247e-318
117918,4166728,4.94065645841247e-316
119904,2545165,2.47032822920623e-314
120245,1341946,4.05133829589822e-316
120980,686358,2.47032822920623e-317
122387,987377,4.44659081257122e-313
123082,5874840,2.47032822920623e-316
123142,5745980,3.54530470770249e-314
123202,1404039,4.86654661153628e-316
123314,2029780,2.86558074587923e-316
